"ID","Name","# lines","Version"
"1001","H-atom","1","1"
"2001","D-atom","1","1"
"3001","HD","1","2"
"4001","H2D+","32","2*"
"7001","Li-6-H","51","2*"
"8001","LiH","53","2*"
"8002","Li-6-D","80","1"
"9001","LiD","90","1"
"12001","C-atom","2","2"
"13001","C-13-atom","7","2"
"13002","CH","508","2*"
"13003","CH+","9","2"
"14001","N-atom","2","1"
"14002","N-atom-D-st","6","3"
"14003","13CH","648","1*"
"14004","CD","188","1*"
"15001","NH","1416","1*"
"16001","O-atom","2","2"
"17001","OH","3153","5*"
"17002","NH3","1716","5*"
"17003","CH3D","203","4*"
"17004","NH3-v2","4198","5*"
"18001","OD","9351","2"
"18002","N-15-H3","235","2"
"18003","H2O","1376","6*"
"18004","NH2D","5036","1"
"18005","H2O","v2,2v2,v","8608"
"18006","13CH3D","143","1*"
"18007","17OH","46769","1*"
"19001","HO-18","3159","3"
"19002","HDO","1401","3"
"19003","H2O-17","404","1"
"19004","H3O+","304","3*"
"19005","H3O+","v1,v3,v","1973"
"19006","17OD","113226","1*"
"20001","D2O","1137","2"
"20002","HF","8","1"
"20003","H2O-18","726","1"
"20004","18OD","3632","1*"
"21001","HDO-18","952","1"
"21002","DF","20","1"
"25001","CCH","114","1"
"25002","NaH","52","1"
"26001","CN,","v","="
"26002","C2H2","2066","1*"
"27001","HCN","40","2"
"27002","HNC","49","2"
"27003","HCN-v2","132","1"
"27004","C-13-N","1218","1"
"28001","CO","91","4*"
"28002","HC-13-N","45","1"
"28003","HCN-15","35","1"
"28004","DCN","54","1"
"28005","HNC-13","34","1"
"28006","HN-15-C","33","1"
"28007","DNC","53","2"
"28008","HCNH+","74","1"
"28009","CO+","88","1"
"28010","DCCD","6940","1*"
"29001","C-13-O","60","3*"
"29002","HCO+","v=0,1,2","373"
"29003","CH2NH","2957","2"
"29004","HCO","2454","1"
"29005","NNH+","34","1"
"29006","CO-17","50","2*"
"29007","HOC+","40","1"
"30001","CO-18","60","3*"
"30002","HC-13-O+","40","3"
"30003","DCO+","1041","3"
"30004","H2CO","3506","2*"
"30005","C-13-H2NH","439","1"
"30006","CH2N-15-H","440","1"
"30007","CH2ND","1834","1"
"30008","NO","9756","2"
"30009","NND+","41","1"
"30010","HOC-13+","40","1"
"30011","NO+","154","1"
"30012","DOC+","40","1"
"31001","HCO-18+","34","2"
"31002","H2C-13-O","2309","2*"
"31003","HDCO","4204","1"
"31004","HO-18-C+","40","1"
"31005","HNO","10293","1"
"31006","Methoxy","10936","1*"
"31007","D13CO+","40","1*"
"31008","CH3NH2","28298","1*"
"31009","15-NO","4912","1*"
"31010","CH3CH2D","25678","1*"
"32001","O2","336","5*"
"32002","O2-v1","336","6*"
"32003","CH3OH","83543","3*"
"32004","H2CO-18","449","1"
"32005","O2-snglt-dlta","52","2*"
"32006","D2CO","3682","1"
"32007","DNO","14739","1"
"33001","HO2","21954","4"
"33002","O-17-O","10787","2"
"33003","SH","v=0,1","646"
"33004","CH2DOH","89098","1*"
"34001","O-18-O","672","5*"
"34002","H2S","1525","3"
"34003","PH3","728","3"
"34004","H2O2","38357","4"
"34005","SD","1125","1*"
"35001","HDS","1138","1"
"36001","HCl","137","2"
"36002","18-O2","246","2*"
"36003","HOF","1270","1*"
"36004","HCl+","779","2*"
"36005","HCl+","IRUV","2583"
"37001","DCl","228","1"
"37002","C3H","4990","1"
"37003","c-C3H","2973","1"
"37004","DCl+","207","2*"
"37005","DCl+","IRUV","724"
"38001","HCl-37","137","2"
"38002","c-C3H2","30436","2"
"38003","C3D","1560","1"
"38004","c-CCC-13-H","6541","1"
"38005","c-C-13-CCH","9753","1"
"38006","c-C3D","6001","1"
"38007","H37Cl+","779","2*"
"38008","H37Cl+IRUV","2583","2*"
"39001","c-HC-13-CCH","17768","2"
"39002","c-HCC-13-CH","6892","2"
"39003","c-C3HD","21610","2"
"39004","DCl-37","228","1"
"39005","NaO","6440","1*"
"39006","K-atom","11","1*"
"40001","CH3CCH","813","1"
"40002","NaOH","91","1"
"40003","SiC","982","1"
"40004","SiC-v1","703","1"
"40005","KH","40","1"
"40006","C2O","354","1*"
"40007","MgO","88","1*"
"41001","CH3CN","1728","4*"
"41002","CH3CC-13-H","822","1"
"41003","CH3C-13-CH","813","1"
"41004","C-13-H3CCH","821","1"
"41005","CH3CCD","822","2"
"41006","CH2DCCH","223","2"
"41007","SiC-13","2417","1"
"41008","CaH","387","1"
"41009","CH3NC","1798","1"
"41010","CH3CN","v8=1","5248"
"41011","K41-atom","11","1*"
"42001","CH3CN-15","1351","2*"
"42002","CH2CO","835","1"
"42003","NH2CN","13898","1"
"42004","CaD","501","1"
"42005","K-41-H","40","1"
"42006","C-13-H3CN","1636","2*"
"42007","CH3C-13-N","1619","2*"
"42008","CH2DCN","3002","2*"
"42009","H2CSi","670","1*"
"42010","SiN","614","1*"
"43001","CHDCO","886","1"
"43002","HNCO","6078","1"
"43003","AlO","1023","1"
"43004","CP","397","1*"
"43005","13CH313CN","1256","1*"
"44001","CS","51","2"
"44002","SiO","31","2"
"44003","CH3CHO","47034","3*"
"44004","N2O","1926","3*"
"44006","DNCO","5504","1"
"44007","HN-15-CO","888","1"
"44008","HNC-13-O","4332","1"
"44010","HCP","34","1"
"44011","AlOH","766","1"
"44013","C3H8","151544","3*"
"45001","C-13-S","29","2"
"45002","Si-29-O","66","1"
"45003","NH2CHO","3476","2"
"45005","HCS+","64","1"
"45006","HNCO-18","4929","1"
"45007","NN-15-O","104","2*"
"45008","N-15-NO","106","2*"
"45009","DCP","34","1"
"45010","HOCO+","1745","1"
"45011","AlOD","70","1"
"45012","O-17-CO","285","1"
"45013","PN","v=0-4","1637"
"46001","CS-34","34","2"
"46002","Si-30-O","67","1"
"46003","H2CS","517","1"
"46004","C2H5OH","52180","4*"
"46005","HCOOH","1888","1"
"46006","NO2","16444","2"
"46007","N2O-18","107","2*"
"46008","CH3OCH3","21735","1"
"46009","AlF","1188","1"
"46010","NS","2402","1"
"46011","DOCO+","677","1"
"46012","HOC-13-O+","1735","1"
"46013","O-18-CO","91","1"
"46014","CH2OO","19161","1*"
"47001","H2C-13-S","110","1"
"47002","HC-13-OOH","16515","2*"
"47003","DCOOH","21405","2*"
"47004","HCOOD","18903","2*"
"47005","PO+","v=0-4","239"
"47006","PO","743","1*"
"47007","HONO","54411","1*"
"47008","cis-DCOOH","22490","1*"
"47009","cis-HCOOD","17502","1*"
"47010","cis-HC-13-OO","15887","1*"
"48001","SO","330","1"
"48002","SO-v1","261","1"
"48003","H2CS-34","111","1"
"48004","O3","7133","4*"
"48005","O3-v2","4911","4*"
"48006","O3-v1,3","9619","4*"
"48007","O3-2v2","3014","3*"
"48008","O3-v1,3+v2","10912","1"
"48009","NS-34","2364","1"
"48010","SO+","194","1*"
"48011","CH3OOH","46191","1*"
"48012","HFCO","16494","1*"
"49001","O3-sym-O-17","26092","2"
"49002","O3-asym-O-17","52613","2"
"49003","C4H","742","1"
"49004","MgCCH","274","1"
"49005","HO3","39114","1*"
"50001","S-34-O","280","1"
"50002","SO-18","179","1"
"50003","O3-sym-O-18","3184","2"
"50004","O3-asym-O-18","7304","2"
"50005","O3-s-O18-v2","2387","1"
"50006","O3-a-O18-v2","4213","1"
"50007","CH3Cl-35","6386","3*"
"50008","C3N","1351","1"
"50009","MgCN","273","1"
"50010","MgNC","269","1"
"51001","HCCCN","139","3*"
"51002","ClO","2585","3"
"51003","ClO-v1","2112","1"
"51004","HCCNC","563","1"
"51005","HCCNC-v7","291","1"
"51006","HCCNC-v6","291","1"
"51007","HCCNC-v5","278","1"
"51008","HNCCC","574","1"
"52001","HCCC-13-N","152","1"
"52002","HCC-13-CN","146","1"
"52003","HC-13-CCN","144","1"
"52004","HCCCN-15","99","1"
"52005","DCCCN","156","1"
"52006","HOCl","40352","4*"
"52007","SiCC","304","2"
"52008","CCCO","51","1"
"52009","CH3Cl-37","6438","3*"
"52010","CH2F2","11942","1"
"52011","CH2F2-v4","7808","1"
"52012","DNCCC","3098","1"
"52013","CNCN","1105","2*"
"53001","C2H3CN","298330","4*"
"53002","Cl-37-O","2624","3"
"53003","C-13-CCO","99","1"
"53004","CC-13-CO","99","1"
"53005","CCC-13-O","99","1"
"53006","Cl-37-O-v1","2132","1"
"53007","C2H3NC","9362","1"
"53008","HNCCN+","99","1*"
"54001","CH2CHC-13-N","28195","2"
"54002","CH2C-13-HCN","28686","2"
"54003","C-13-H2CHCN","28746","2"
"54004","CH2CDCN","6381","2*"
"54005","HOCl-37","40627","4*"
"54006","CCCO-18","99","1"
"54007","HCCCHO","8407","1"
"54008","CH2CHC-15-N","8541","1*"
"55001","C2H5CN","64344","5*"
"55002","CaCH3","5775","1*"
"56001","CH3CH2C-13-N","1183","2"
"56002","CH3C-13-H2CN","1252","2"
"56003","C-13-H3CH2CN","1183","2"
"56004","C2H5CN-15","1621","1"
"56005","CH2DCH2CN-s","1166","2"
"56006","CH2DCH2CN-a","1286","2"
"56007","CCS","563","1"
"56008","C2H3CHO","24051","1"
"56009","MgS","99","1*"
"56010","HCCCH2OH","104073","1*"
"57001","C-13CS","1013","1"
"57002","CC-13S","1015","1"
"57003","HCCCH2OD","22458","1*"
"58001","CCS-34","565","1"
"58002","NaCl","99","1"
"58003","CH3COCH3","61834","1*"
"60001","OCS","99","2"
"60002","SiS","97","1"
"60003","CH3OCHO","61521","2*"
"60005","NaCl-37","99","1"
"60006","HCOCH2OH","212527","2*"
"61001","OC-13-S","99","2"
"61002","Si-29-S","98","1"
"61003","C5H","2594","1"
"61004","NH2CH2CH2OH","282599","1*"
"62001","OC-34-S","99","2"
"62002","O-18-CS","99","2"
"62003","Si-30-S","99","1"
"62004","SiS-34","99","1"
"62005","AlCl","11525","1"
"62006","C5D","4436","1"
"63001","HNO3","129631","4*"
"63002","HNO3-v7","8821","2*"
"63003","HNO3-v9","83672","2*"
"63004","HNO3-v6","66984","2*"
"63005","HNO3-v8","58560","2*"
"63006","HNO3-v5/2v9","105483","2*"
"63007","PS","2340","1*"
"63008","PO2","7323","1*"
"63009","HOONO","168036","2*"
"64001","S2","174","2"
"64002","SO2","13573","4*"
"64003","AlCl-37","11326","1"
"64004","C4O","535","1*"
"64005","SO2-v2","9225","1*"
"64006","H35ClCO","113626","1*"
"64007","H15NO3","36935","1*"
"64008","DNO3","56528","1*"
"65001","S-33-O2","19048","1*"
"65002","H18ONO2","40392","1*"
"65003","HON18OO","44692","1*"
"65004","HONO18O","17737","1*"
"66001","COF2","23090","1"
"66002","S-34-O2","11894","2*"
"66003","CaNC","259","1"
"66004","SOO-18","9758","1*"
"66005","H37ClCO","113891","1*"
"67001","OCl-35-O","57232","2*"
"68001","CCCS","99","1"
"69001","OCl-37-O","49388","2*"
"69002","C3H7CN","131349","1"
"70001","CCCS-34","99","1"
"71001","MnO","12510","1*"
"71002","NF3","4033","1*"
"72001","CaS","382","1*"
"73001","C6H","3031","1"
"74001","KCl","99","1"
"74002","C2H5OOCH","60671","1"
"74003","C3H6O2","108659","2*"
"75001","HCCCCCN","99","1"
"75002","H2NCH2COOH","I","68326"
"75003","H2NCH2COOH","II","44300"
"75004","H2NCO2CH3","140822","1*"
"76001","HCCCCC-13-N","99","1"
"76002","HCCCC-13-CN","99","1"
"76003","HCCC-13-CCN","99","1"
"76004","HCC-13-CCCN","99","1"
"76005","HC-13-CCCCN","99","1"
"76006","HCCCCCN-15","99","1"
"76007","DCCCCCN","99","1"
"76008","KCl-37","99","1"
"76009","C4Si","229","1"
"76010","C5O","99","1*"
"76011","C3H8O2","I","21811"
"76012","C3H8O2","II","21295"
"77001","C3H8O2","I","13C3"
"77002","C3H8O2","I","13C4"
"77003","C3H8O2","I","13C5"
"78001","AsH3","4956","1*"
"79001","HOONO2","50775","1"
"80001","HBr-79","143","2"
"80002","ZnO","259","1*"
"81001","Cl-35-NO2","3520","1*"
"82001","HBr-81","143","2"
"84001","CH2Cl2","752701","1*"
"88001","C6O","567","1*"
"89001","Sr-88-H","391","1"
"90001","Sr-88-D","922","1"
"90002","C3O3H6","-","DHA"
"92001","C5S","99","1"
"94001","C5-34-S","99","1"
"94002","CH3-79-Br","14309","1*"
"95001","Br-79-O","1892","2*"
"95002","Br-79-O","v=1","1314"
"96001","HOBr-79","9898","1"
"96002","S3","12039","1*"
"96003","CH3-81-Br","14333","1*"
"97001","Br-81-O","1892","2*"
"97002","Cl-35-ONO2","78323","2*"
"97003","Br-81-O","v=1","1313"
"98001","H2SO4","42913","4*"
"98002","HOBr-81","9920","1"
"99001","Cl-37-ONO2","49505","2*"
"99002","HC7N","518","1"
"100001","C7O","99","1*"
"102001","ClOOCl","17266","1"
"102002","ClClOO","15078","1*"
"104001","Cl-37-OOCl","17482","1"
"111001","OBr-79-O","52631","1*"
"112001","Se-80-O2","7484","1"
"112002","C8O","644","1*"
"113001","OBr-81-O","52840","1*"
"123001","HC9N","99","1"
"124001","C9O","100","1*"
"128001","S4","26640","1*"
"143001","IO","8833","1*"
"147001","HC11N","99","2*"